Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,6.440000,6.440000,6.440000,6.440000,-5.301808,0
2017-06-02,6.710000,6.760000,6.690000,6.750000,-5.557019,4000
2017-06-05,6.630000,6.630000,6.630000,6.630000,-5.458229,1100
2017-06-06,6.740000,6.740000,6.600000,6.600000,-5.433530,2100
2017-06-07,6.650000,6.650000,6.650000,6.650000,-5.474694,600
2017-06-08,6.650000,6.650000,6.650000,6.650000,-5.474694,0
2017-06-09,6.590000,6.620000,6.590000,6.620000,-5.449996,300
2017-06-12,6.760000,6.760000,6.610000,6.610000,-5.441763,1500
2017-06-13,6.610000,6.610000,6.610000,6.610000,-5.441763,0
2017-06-14,6.610000,6.610000,6.610000,6.610000,-5.441763,4500
2017-06-15,6.400000,6.420000,6.380000,6.380000,-5.252412,1400
2017-06-16,6.440000,6.520000,6.440000,6.520000,-5.367669,200
2017-06-19,6.520000,6.520000,6.520000,6.520000,-5.367669,0
2017-06-20,6.520000,6.520000,6.520000,6.520000,-5.367669,0
2017-06-21,6.590000,6.590000,6.420000,6.420000,-5.285343,700
2017-06-22,6.380000,6.380000,6.380000,6.380000,-5.252412,900
2017-06-23,6.450000,6.450000,6.450000,6.450000,-5.310040,1000
2017-06-26,6.550000,6.550000,6.550000,6.550000,-5.392367,1500
2017-06-27,6.550000,6.550000,6.550000,6.550000,-5.392367,0
2017-06-28,6.550000,6.550000,6.550000,6.550000,-5.392367,0
2017-06-29,6.450000,6.450000,6.450000,6.450000,-5.310040,300
2017-06-30,6.520000,6.520000,6.520000,6.520000,-5.367669,2100
2017-07-03,6.520000,6.520000,6.520000,6.520000,-5.367669,0
2017-07-05,6.640000,6.690000,6.640000,6.690000,-5.507624,11100
2017-07-06,6.460000,6.460000,6.460000,6.460000,-5.318274,2000
2017-07-07,6.500000,6.500000,6.500000,6.500000,-5.351204,300
2017-07-10,6.470000,6.500000,6.470000,6.500000,-5.351204,10600
2017-07-11,6.500000,6.500000,6.500000,6.500000,-5.351204,0
2017-07-12,6.480000,6.480000,6.480000,6.480000,-5.334739,22800
2017-07-13,6.570000,6.570000,6.570000,6.570000,-5.408833,200
2017-07-14,6.590000,6.590000,6.590000,6.590000,-5.425298,300
2017-07-17,6.590000,6.590000,6.570000,6.590000,-5.425298,1100
2017-07-18,6.650000,6.740000,6.650000,6.740000,-5.548787,113400
2017-07-19,6.570000,6.570000,6.570000,6.570000,-5.408833,200
2017-07-20,6.780000,6.780000,6.770000,6.770000,-5.573484,6700
2017-07-21,6.840000,6.860000,6.840000,6.860000,-5.647578,1200
2017-07-24,6.970000,6.990000,6.970000,6.990000,-5.754603,3300
2017-07-25,7.000000,7.390000,7.000000,7.350000,-6.050976,65100
2017-07-26,7.270000,7.300000,7.270000,7.300000,-6.009813,300
2017-07-27,7.300000,7.400000,7.300000,7.400000,-6.092140,116600
2017-07-28,7.200000,7.200000,7.200000,7.200000,-5.927487,500
2017-07-31,7.130000,7.130000,7.130000,7.130000,-5.869859,1300
2017-08-01,7.130000,7.130000,7.130000,7.130000,-5.869859,0
2017-08-02,7.100000,7.100000,7.100000,7.100000,-5.845162,500
2017-08-03,7.110000,7.110000,7.110000,7.110000,-5.853394,400
2017-08-04,7.230000,7.230000,7.230000,7.230000,-5.952185,700
2017-08-07,7.240000,7.240000,7.240000,7.240000,-5.960417,5000
2017-08-08,7.240000,7.240000,7.240000,7.240000,-5.960417,0
2017-08-09,7.170000,7.170000,7.170000,7.170000,-5.902790,5500
2017-08-10,7.170000,7.170000,7.170000,7.170000,-5.902790,0
2017-08-11,6.990000,7.050000,6.990000,7.050000,-5.803998,6700
2017-08-14,7.090000,7.090000,7.090000,7.090000,-5.836929,400
2017-08-15,7.120000,7.120000,7.120000,7.120000,-5.861627,2000
